transfer_id,timestamp,account_name,channel_cd
xtr146954,3823030,David,CH07
xtr337000,4675604,Helen,CH04
xtr582322,4963503,David,CH07
xtr227226,5554880,David,CH06
xtr311978,5554975,Helen,CH07
xtr555544,5555011,David,CH06
xtr246610,6069408,Helen,CH04
xtr931895,6069430,David,CH07
xtr832334,6400316,Helen,CH01
xtr541168,6400428,David,CH02
xtr785804,6400499,David,CH06
xtr380668,7251861,Helen,CH03
xtr936401,8312166,Helen,CH04
xtr710277,8312333,Helen,CH04
xtr897605,8488444,Helen,CH04
xtr257612,9440864,David,CH07
xtr158171,10704152,David,CH07
xtr141448,13473757,David,CH07
xtr993823,14775404,Helen,CH01
xtr849807,19606163,Helen,CH04
xtr638463,24787430,David,CH02
xtr205852,24787532,Helen,CH04
xtr625554,24787661,Helen,CH04
xtr785706,24989386,David,CH07
xtr717550,24989464,Helen,CH04
xtr876312,27471273,David,CH06
xtr700065,29049288,Helen,CH04
xtr215027,30230242,Helen,CH04
xtr175588,30230331,Helen,CH04
xtr185440,32397147,David,CH02
xtr594680,32397147,Helen,CH04
xtr581193,32397148,Helen,CH01
xtr305626,32737015,Helen,CH01
xtr395084,35169990,David,CH07
xtr754459,35178888,Helen,CH04
xtr190256,35178952,Helen,CH04
xtr622883,35179134,David,CH06
xtr433797,36302300,Helen,CH04
xtr907138,38132166,David,CH05
xtr142625,38296341,Helen,CH05
